Date,Open,High,Low,Close,Adj Close,Volume
1998-12-28,41.292816,42.663288,41.173645,42.127014,25.291555,2205700
1998-12-29,42.067429,42.842045,41.948257,42.603699,25.577724,1093500
1998-12-30,42.603699,43.020802,42.424942,42.484528,25.506186,1098700
1998-12-31,42.424942,42.603699,42.127014,42.246185,25.363092,1188900
1999-01-04,41.590744,42.424942,41.292816,41.531158,24.933823,1486800
1999-01-05,41.531158,41.888672,40.875717,41.769501,25.076910,1219300
1999-01-06,41.948257,42.722874,41.888672,42.603699,25.577724,1695600
1999-01-07,41.709915,42.544113,41.590744,42.186600,25.327314,1584500
1999-01-08,42.365356,42.365356,41.650330,42.127014,25.291555,1632200
1999-01-11,41.948257,41.948257,41.173645,41.471573,24.898039,1032000
1999-01-12,41.352402,41.769501,40.756546,40.816132,24.504536,1363900
1999-01-13,40.279861,40.696960,39.624420,39.803177,23.896399,2113300
1999-01-14,39.803177,39.803177,39.088150,39.088150,23.467123,1616800
1999-01-15,39.922348,40.577789,39.088150,40.577789,24.361437,1833400
1999-01-19,40.160690,40.160690,39.207321,39.624420,23.789082,1415500
1999-01-20,39.803177,40.399033,38.492294,39.028564,23.431347,2964400
1999-01-21,38.968979,39.326492,37.777267,37.896439,22.751659,2838800
1999-01-22,37.658096,38.194366,36.466385,37.777267,22.680115,1627500
1999-01-25,37.658096,38.194366,36.704727,37.717682,22.644344,1517300
1999-01-26,37.717682,38.611465,37.479340,38.194366,22.930525,1106800
1999-01-27,38.194366,38.551880,37.538925,37.658096,22.608574,1346600
1999-01-28,37.777267,38.373123,37.002655,37.360168,22.429699,2287000
1999-01-29,37.360168,37.658096,36.049286,37.181412,22.322386,2564400
1999-02-01,36.943069,38.015610,36.943069,37.300583,22.393932,2162200
1999-02-02,37.121826,37.836853,36.704727,37.658096,22.608574,1536900
1999-02-03,37.300583,37.777267,36.823898,37.419754,22.465473,1933400
1999-02-04,37.896439,38.015610,37.062241,37.777267,22.680115,1729300
1999-02-05,37.896439,41.054474,37.896439,41.054474,24.647631,2277600
1999-02-08,40.577789,40.935303,40.041519,40.816132,24.504536,1858200
1999-02-09,40.756546,41.114059,40.339447,40.637375,24.397221,1887200
1999-02-10,40.518204,40.816132,39.445663,40.756546,24.468756,1827500
1999-02-11,40.637375,41.948257,40.041519,41.709915,25.041143,1316300
1999-02-12,41.829086,42.246185,40.994888,40.994888,24.611864,1659900
1999-02-16,41.411987,41.590744,40.816132,41.233231,24.754951,1102400
1999-02-17,40.458618,41.948257,39.803177,39.803177,23.995329,1074600
1999-02-18,40.041519,41.173645,39.803177,40.518204,24.426384,990600
1999-02-19,40.279861,41.411987,39.981934,40.399033,24.354542,1114600
1999-02-22,40.279861,41.352402,40.279861,41.114059,24.785595,1544400
1999-02-23,40.279861,40.756546,40.101105,40.160690,24.210850,1484000
1999-02-24,39.981934,41.650330,39.624420,40.339447,24.318624,1526700
1999-02-25,40.041519,40.875717,39.266907,40.518204,24.426384,1325900
1999-02-26,40.577789,41.233231,39.326492,39.445663,23.779799,1398200
1999-03-01,39.684006,40.041519,38.671051,39.981934,24.103083,871900
1999-03-02,39.981934,40.160690,39.088150,39.684006,23.923473,1167600
1999-03-03,39.743591,40.339447,39.266907,40.160690,24.210850,993800
1999-03-04,40.518204,41.709915,40.518204,41.650330,25.108883,1876700
1999-03-05,41.948257,42.842045,41.709915,42.603699,25.683613,2716900
1999-03-08,43.616657,43.914585,42.603699,43.437901,26.186520,3359700
1999-03-09,43.020802,43.557072,42.603699,43.378315,26.150587,2250100
1999-03-10,43.139973,43.557072,42.782459,42.961216,25.899143,1518400
1999-03-11,43.497486,43.557072,42.544113,43.378315,26.150587,2011600
1999-03-12,43.557072,43.795414,43.259144,43.378315,26.150587,1682200
1999-03-15,43.616657,44.331684,43.437901,44.331684,26.725334,1829200
1999-03-16,44.093342,44.689198,43.378315,43.855000,26.437965,1566300
1999-03-17,43.497486,43.735828,42.305771,42.365356,25.539936,2039500
1999-03-18,40.994888,43.139973,40.994888,42.782459,25.791391,2555400
1999-03-19,43.855000,44.033756,43.259144,43.795414,26.402056,1803900
1999-03-22,43.676243,44.093342,42.961216,43.616657,26.294281,1167000
1999-03-23,43.497486,43.735828,42.663288,42.901630,25.863234,833200
1999-03-24,42.842045,44.570026,42.842045,44.510441,26.833107,1542000
1999-03-25,44.748783,47.072620,44.629612,45.761738,27.587448,4223100
1999-03-26,45.761738,48.025990,45.642567,48.025990,28.952446,3364000
1999-03-29,47.728062,48.562260,47.668476,48.383503,29.167990,2305200
1999-03-30,47.906818,48.145161,47.668476,47.847233,28.844704,1850600
1999-03-31,48.085575,48.145161,46.715107,46.893864,28.269949,1711000
1999-04-01,46.953449,48.383503,46.953449,47.906818,28.880602,1305800
1999-04-05,48.621845,49.873142,48.025990,49.753971,29.994160,1889100
1999-04-06,49.694386,49.694386,48.741016,49.038944,29.563095,2040300
1999-04-07,49.277287,50.468998,49.098530,50.468998,30.425215,1309800
1999-04-08,50.468998,50.468998,49.456043,50.171070,30.245619,1544900
1999-04-09,49.813557,49.873142,49.336872,49.634800,29.922314,1804900
1999-04-12,48.919773,51.720295,48.562260,50.647755,30.532976,2311400
1999-04-13,50.051899,51.422367,49.515629,50.588169,30.497049,2256200
1999-04-14,50.409412,52.077808,50.111485,50.826511,30.640743,2838100
1999-04-15,51.481953,53.805794,51.362782,53.507866,32.257183,4823600
1999-04-16,54.818748,55.235847,53.090767,53.865379,32.472717,3795300
1999-04-19,53.865379,56.367973,53.805794,54.282478,32.724174,2923900
1999-04-20,53.865379,53.924965,52.077808,52.554497,31.682467,3447400
1999-04-21,53.150352,53.627037,52.316154,52.673668,31.754311,1640600
1999-04-22,53.627037,54.520821,53.209938,53.865379,32.472717,2068900
